code,display_name
SCAN_currYrETFFYEPS_DESC,Curr Year Earnings Per Share (AltaVista) Desc
SCAN_currYrETFFYEPSGrowth_ASC,Curr Year Earnings Per Share Growth (AltaVista) Asc
SCAN_currYrETFFYEPSGrowth_DESC,Curr Year Earnings Per Share Growth (AltaVista) Desc
SCAN_currYrETFFYNetMargin_ASC,Curr Year Net Margins Per Share (AltaVista) Asc
SCAN_currYrETFFYNetMargin_DESC,Curr Year Net Margins Per Share (AltaVista) Desc
SCAN_currYrETFFYPriceToBookValue_ASC,Curr Year Price/Book Value Ratio (AltaVista) Asc
SCAN_currYrETFFYPriceToBookValue_DESC,Curr Year Price/Book Value Ratio (AltaVista) Desc
SCAN_currYrETFFYPriceToCashFlow_ASC,Curr Year Price/Cash Flow Ratio (AltaVista) Asc
SCAN_currYrETFFYPriceToCashFlow_DESC,Curr Year Price/Cash Flow Ratio (AltaVista) Desc
SCAN_currYrETFFYPriceToEarnings_ASC,Curr Year Price/Earnings Ratio (AltaVista) Asc
SCAN_currYrETFFYPriceToEarnings_DESC,Curr Year Price/Earnings Ratio (AltaVista) Desc
SCAN_currYrETFFYPriceToGrowth_ASC,Curr Year Price/Growth Ratio (AltaVista) Asc
SCAN_currYrETFFYPriceToGrowth_DESC,Curr Year Price/Growth Ratio (AltaVista) Desc
SCAN_currYrETFFYPriceToSales_ASC,Curr Year Price/Sales Ratio (AltaVista) Asc
SCAN_currYrETFFYPriceToSales_DESC,Curr Year Price/Sales Ratio (AltaVista) Desc
SCAN_currYrETFFYRoE_ASC,Curr Year Return on Equity (AltaVista) Asc
SCAN_currYrETFFYRoE_DESC,Curr Year Return on Equity (AltaVista) Desc
SCAN_currYrETFFYSPS_ASC,Curr Year Sales Per Share (AltaVista) Asc
SCAN_currYrETFFYSPS_DESC,Curr Year Sales Per Share (AltaVista) Desc
SCAN_currYrETFFYSPSGrowth_ASC,Curr Year Sales Per Share Growth (AltaVista) Asc
SCAN_currYrETFFYSPSGrowth_DESC,Curr Year Sales Per Share Growth (AltaVista) Desc
SCAN_etfCurYld_WgtAvg_ASC,Current Yield Weighted Average (AltaVista) Asc
SCAN_etfCurYld_WgtAvg_DESC,Current Yield Weighted Average (AltaVista) Desc
SCAN_etfDev_ASC,Developed Market Exposure (AltaVista) Asc
SCAN_etfDev_DESC,Developed Market Exposure (AltaVista) Desc
SCAN_etfDistribFreq_ASC,Distribution Frequency (AltaVista) Asc
