code,display_name,unit,data_type,min,max
dividendNextDateBelow,Next Dividend Date Below,,,,
dividendYieldFrdAbove,Dividend Yield Above (%),,,,
dividendYieldFrdBelow,Dividend Yield Below (%),,,,
epsChangeTTMAbove,EPS Chg TTM % (Refinitiv) Above,,,,
epsChangeTTMBelow,EPS Chg TTM % (Refinitiv) Below,,,,
esgCombinedScoreAbove,ESG Combined Score Above,,,,
esgCombinedScoreBelow,ESG Combined Score Below,,,,
esgCommunityScoreAbove,ESG Community Score Above,,,,
esgCommunityScoreBelow,ESG Community Score Below,,,,
esgControversiesScoreAbove,ESG Controversies Score Above,,,,
esgControversiesScoreBelow,ESG Controversies Score Below,,,,
esgCorpGovPillarScoreAbove,ESG Corporate Governance Score Above,,,,
esgCorpGovPillarScoreBelow,ESG Corporate Governance Score Below,,,,
esgEmissionsScoreAbove,ESG Emissions Score Above,,,,
esgEmissionsScoreBelow,ESG Emissions Score Below,,,,
esgEnvInvScoreAbove,ESG Environmental Innovation Score Above,,,,
esgEnvInvScoreBelow,ESG Environmental Innovation Score Below,,,,
esgEnvPillarScoreAbove,ESG Environmental Score Above,,,,
esgEnvPillarScoreBelow,ESG Environmental Score Below,,,,
esgHrScoreAbove,ESG Human Rights Score Above,,,,
esgHrScoreBelow,ESG Human Rights Score Below,,,,
esgManagementScoreAbove,ESG Management Score Above,,,,
esgManagementScoreBelow,ESG Management Score Below,,,,
esgProdRespScoreAbove,ESG Product Responsibility Score Above,,,,
esgProdRespScoreBelow,ESG Product Responsibility Score Below,,,,
esgResourceUseScoreAbove,ESG Resource Use Score Above,,,,
esgResourceUseScoreBelow,ESG Resource Use Score Below,,,,
esgScoreAbove,ESG Score Above,,,,
esgScoreBelow,ESG Score Below,,,,
esgShareholdersScoreAbove,ESG Shareholders Score Above,,,,
esgShareholdersScoreBelow,ESG Shareholders Score Below,,,,
esgSocialPillarScoreAbove,ESG Social Score Above,,,,
esgSocialPillarScoreBelow,ESG Social Score Below,,,,
esgStrategyScoreAbove,ESG CSR Strategy Score Above,,,,
esgStrategyScoreBelow,ESG CSR Strategy Score Below,,,,
esgWorkforceScoreAbove,ESG Workforce Score Above,,,,
esgWorkforceScoreBelow,ESG Workforce Score Below,,,,
etf1moChngAbove,1mo Change (AltaVista) Above,,,,
etf1moChngBelow,1mo Change (AltaVista) Below,,,,
etf3moChngAbove,3mo Change (AltaVista) Above,,,,
etf3moChngBelow,3mo Change (AltaVista) Below,,,,
etf5yrEPSAbove,5yr EPS Growth (AltaVista) Above,,,,
etf5yrEPSBelow,5yr EPS Growth (AltaVista) Below,,,,
etfALTARAbove,Altar Score (AltaVista) Above,,,,
