symbol,current_price,momentum_score,momentum_pct,momentum_standard,momentum_standard_pct,dollar_volume,pct_from_high,at_high,data_days
PKG,212.74000549316406,0.049458949426569365,4.9458949426569365,0.08416408782845397,8.416408782845398,142202198.15183592,-13.595992625870856,False,400
KEYS,166.8699951171875,0.04942654567155502,4.942654567155502,0.057410795885918686,5.741079588591869,146584701.32504028,-10.38131157243135,False,400
ES,66.52999877929688,0.04662307586866965,4.662307586866965,0.04851420147798291,4.851420147798291,140510368.96378875,-0.923310100511443,True,400
ED,101.6500015258789,0.04299289157000663,4.299289157000663,0.04749152967454062,4.749152967454062,259377046.49693146,-10.016819202194672,False,400
MCD,314.07000732421875,0.04033531725603057,4.033531725603057,0.10954261247095132,10.954261247095133,1137070819.6478271,-3.2081190035276763,True,400
HSIC,69.5999984741211,0.039358807669927165,3.9358807669927165,-0.003864380447217708,-0.3864380447217708,131600750.52097474,-15.626136166151916,False,400
MU,117.68000030517578,0.03620896606338553,3.620896606338553,0.09139056456492844,9.139056456492845,2675618083.3652954,-9.28705453540697,False,400
DOV,183.07000732421875,0.035219077645764374,3.5219077645764374,0.015472106137390362,1.5472106137390362,193560238.07883728,-17.197315594045413,False,400
FIS,71.76000213623047,0.0347700202889345,3.47700202889345,-0.07654401834791225,-7.654401834791225,245216386.42098814,-20.82263645727036,False,400
LIN,481.6700134277344,0.033916066390251354,3.3916066390251354,0.056239529780444775,5.6239529780444775,751053610.622827,-0.968376867427545,True,400
TROW,108.29000091552734,0.03177413490570502,3.177413490570502,0.03877672508025509,3.8776725080255092,157251222.55280393,-10.617258484916125,False,400
FDS,381.6199951171875,0.031417206004033194,3.1417206004033194,-0.06608115337325993,-6.608115337325993,164213442.02033204,-23.13661953752636,False,400
HD,412.7900085449219,0.031385715440297,3.1385715440297,0.14113410294746154,14.113410294746153,1373518453.7155871,-4.364808067573311,True,400
CRM,248.2899932861328,0.031346754959038936,3.1346754959038936,-0.0434326963481223,-4.343269634812231,1960005428.6992805,-32.42312691585189,False,400
MAA,143.02999877929688,0.031168990137997454,3.1168990137997454,-0.027636428517338607,-2.7636428517338607,138053269.532724,-15.865750674249702,False,400
FCX,43.279998779296875,0.03068685204374244,3.068685204374244,0.0006308628551072726,0.06308628551072726,639745505.0050713,-16.52218028137442,False,400
SBUX,88.37999725341797,0.028870230858967894,2.8870230858967894,-0.02314264892716511,-2.314264892716511,868475932.8423495,-23.727714152923905,False,400
ESS,266.75,0.028609290155524825,2.8609290155524825,-0.04533062644694841,-4.533062644694841,144143237.62945312,-14.175712451051247,False,400
AMD,167.75999450683594,0.02731130869572107,2.731130869572107,0.06305048540760438,6.305048540760438,9527655468.002756,-10.120546481305958,False,400
HST,16.90999984741211,0.025939045963435436,2.5939045963435436,0.05591167306495115,5.591167306495115,151796550.22949862,-8.734838055782213,False,400
SRE,82.9000015258789,0.025934932743522543,2.5934932743522543,0.0570470849819289,5.70470849819289,283257813.7130493,-11.287199482729527,False,400
EA,171.39999389648438,0.024575791188993223,2.4575791188993223,0.15049977108548496,15.049977108548497,455625659.07309204,-5.251520354078143,False,400
KO,70.12999725341797,0.022291688770799567,2.2291688770799567,0.03752988290641324,3.7529882906413237,1085638168.102246,-5.043525954826411,False,400
ROP,536.8400268554688,0.022117959407193855,2.2117959407193855,-0.02080083238064001,-2.080083238064001,355618557.57656246,-9.540154981703996,False,400
K,80.1500015258789,0.019033975717236196,1.9033975717236196,0.02273446136277668,2.273446136277668,265465978.5402649,-3.0200266034946965,True,400
CTRA,23.809999465942383,0.018226556693615503,1.8226556693615503,0.029722666970222633,2.9722666970222633,172029501.21461678,-18.706380937938217,False,400
AWK,146.1999969482422,0.016152424228703,1.6152424228703,0.06335105924886153,6.335105924886153,188571527.56740236,-4.874680897759188,True,400
WDAY,221.27000427246094,0.015802331926731306,1.5802331926731306,-0.052417414767300996,-5.2417414767301,665500094.355835,-24.738093784877236,False,400
MDLZ,63.40999984741211,0.01529168201327824,1.529168201327824,-0.08264968478786472,-8.264968478786471,507791725.2317746,-14.247159705696454,False,400
MPC,170.8800048828125,0.013378444906903875,1.3378444906903875,0.016461924311889975,1.6461924311889975,381706177.1899243,-6.154421995883763,False,400
CTSH,72.37000274658203,0.012661843232559145,1.2661843232559145,-0.040631618572402495,-4.0631618572402495,291463623.8220795,-19.37906821543417,False,400
ADI,252.1999969482422,0.012128098602671722,1.2128098602671722,0.12761721466964437,12.761721466964438,828891159.306264,-1.9478226636895357,True,400
GDDY,147.07000732421875,0.008245926579437013,0.8245926579437013,-0.10828828075358976,-10.828828075358976,293281201.92522216,-31.912033646195027,False,400
MSI,461.9100036621094,0.00776796597769458,0.776796597769458,0.09572798429597196,9.572798429597196,400229531.9978796,-8.346681816363732,False,400
KIM,22.200000762939453,0.0074550370129147225,0.7455037012914723,0.017538810559881712,1.7538810559881712,88944427.60124359,-11.105587642015324,False,400
CB,277.69000244140625,0.0060330680125806335,0.6033068012580634,0.03399708596406015,3.3997085964060147,519471548.88161135,-9.21630540893098,False,400
ABBV,210.60000610351562,0.005723008050860123,0.5723008050860123,0.10991599644521477,10.991599644521477,1121288369.245525,-1.9564458429832898,True,400
GNRC,194.63999938964844,0.005506367230983411,0.5506367230983411,0.27590950833091865,27.590950833091867,178627062.5023529,-4.236162661919584,True,400
ISRG,476.1600036621094,0.0024413686164828086,0.24413686164828086,-0.02310124626693122,-2.310124626693122,966342698.4630005,-22.701298106800426,False,400
O,58.91999816894531,0.0017651848784965285,0.17651848784965285,0.022203262044713012,2.2203262044713012,312901246.12221193,-4.8074191575179785,True,400
VLO,145.3699951171875,-0.0006962345824186311,-0.06962345824186311,0.04358159018182173,4.358159018182173,427231907.01912045,-5.519415037126207,False,400
XOM,111.27999877929688,-0.0009882780076793107,-0.09882780076793107,0.012767415891521416,1.2767415891521416,1845883890.8270948,-8.735494250373899,False,400
BRO,96.66000366210938,-0.0024306112840528638,-0.24306112840528638,-0.06034312173793599,-6.034312173793599,405906964.6787354,-22.864512887324373,False,400
UDR,39.20000076293945,-0.003939612369981416,-0.39396123699814156,-0.03614985009081784,-3.6149850090817837,88951419.96480194,-14.09470197442425,False,400
HII,269.9800109863281,-0.005089280031583265,-0.5089280031583265,0.020035775658900246,2.0035775658900246,122677728.33270997,-7.900662654290014,False,400
